question,step,k,acc_mean,acc_std,n_full,n_partial,n_wrong,score_mean,score_var,score_std,iou_mean,iou_max,zero_acc_var,zero_score_var
"Immediately after the black-screen titles introduce Ibiza Hair at Whittemore Salon, which ornate object reflecting a woman appears before the video cuts to the busy salon scene?",128,16,1.0,0.0,16,0,0,1.9849,0.1074,0.3277,0.4849,0.9375,1,0
"After the screen shows the words ""Planet Maurie’s first Knitting class"" over the close-up of yarn, what location-identifying phrase does that on-screen text change to before any people appear?",11,16,1.0,0.0,16,0,0,2.0062,0.10575,0.3252,0.5062,1.0,1,0
Which two names that headline the unfolding newspaper at the beginning are later credited as both 'Regisseur' and main actors in the closing credits?,71,16,1.0,0.0,16,0,0,1.9159,0.09948,0.3154,0.4159,0.9952,1,0
"Following his hand-clapping and speech from the podium, which handheld object does the performer later intensely manipulate to complete a puzzle?",76,16,1.0,0.0,16,0,0,1.857,0.09812,0.3132,0.3882,0.8557,1,0
Which brand’s logo is visible on the cap worn by both the man inside the aircraft early on and the man playing harmonica by the sunset water at the end?,85,16,1.0,0.0,16,0,0,2.0094,0.09392,0.3065,0.5094,0.9373,1,0
Which shaving soap brand appears both in the vintage advertisement at the start and later in the jar the presenter holds up for viewers to examine?,69,16,1.0,0.0,16,0,0,1.9367,0.08734,0.2955,0.4367,0.9661,1,0
Which form of ground transportation appears after the red-shirted man runs while flying his kite but before birds are shown soaring in the cloudy sky?,96,16,1.0,0.0,16,0,0,1.8409,0.07837,0.2799,0.3409,0.8333,1,0
Which striking object comes into view after the camera leaves the well-lit coral reef and descends into the darker depths?,26,16,1.0,0.0,16,0,0,1.861,0.07776,0.2789,0.361,0.8062,1,0
"After completing the green-screen warm-up and isolation exercises, the dancer performs her later belly dance routines against what solid backdrop color?",83,16,1.0,0.0,16,0,0,2.007,0.07638,0.2764,0.507,0.9469,1,0
"When the video describes gearing outside english, what percentage of the distance to the line-of-centers is specified for the lip (or tip) offset?",25,16,1.0,0.0,16,0,0,1.7794,0.0748,0.2735,0.2794,0.726,1,0
"After the leftover biscuits are blended into crumbs, which ingredient is grated and then added to the food processor before everything is combined?",20,16,1.0,0.0,16,0,0,1.9122,0.07445,0.2729,0.4122,0.8447,1,0
"Which instrument, played together by a man and woman at the start of the video, is later spotlighted in a solo by a performer wearing an orange shirt?",16,16,1.0,0.0,16,0,0,1.9453,0.07301,0.2702,0.4453,0.835,1,0
"After the cook sprinkles pink Himalayan salt over the massaged kale, which vegetable does she begin slicing on the cutting board?",83,16,1.0,0.0,16,0,0,1.8578,0.07242,0.2691,0.3578,0.8182,1,0
"Before roof debris is later chuted into a dump truck, what color is the van parked near the house at the start of the project?",37,16,1.0,0.0,16,0,0,2.0227,0.0694,0.2634,0.5227,1.0,1,0
Which decorative spice stick is present both inside the drinks shown in the opening tray shot and later lying on the tray beside the finished sugar-rimmed cocktails?,44,16,1.0,0.0,16,0,0,2.0342,0.06919,0.263,0.5342,0.9584,1,0
"What production company name appears alongside a stylized purple eye before the dark screen later displays the phrase ""the Dark Island""?",126,16,1.0,0.0,16,0,0,2.1964,0.06886,0.2624,0.6964,1.0,1,0
"After the injured Bahamian competitor is carried off on a stretcher, which athlete is next shown celebrating with an American flag and his shoes held aloft?",69,16,1.0,0.0,16,0,0,1.8165,0.06879,0.2623,0.3165,0.875,1,0
"Between the two on-screen rapid names shown, which rapid—“Piece of Cake” or “The Narrows”—is announced first in the video?",21,16,1.0,0.0,16,0,0,2.07,0.06852,0.2618,0.57,0.9839,1,0
What instrument does the woman keep playing both when she sits on the checkered bed early in the video and later when she performs on the pillow-covered couch?,77,16,1.0,0.0,16,0,0,2.2092,0.06606,0.257,0.7092,0.9977,1,0
"After the unlock button on the elliptical’s safety lock is pressed, what feature begins changing automatically while the person pedals?",114,16,1.0,0.0,16,0,0,1.7135,0.06369,0.2524,0.2135,0.8333,1,0
"After the video opens with the Nordic Ski Source logo, which brand name is displayed on the apron worn by the man demonstrating ski maintenance?",57,16,1.0,0.0,16,0,0,1.9229,0.06269,0.2504,0.4229,0.7917,1,0
"After the riders leave the lush forest, what type of landscape do they enter, and what sparse vegetation is seen lining their dirt path?",112,16,1.0,0.0,16,0,0,1.7653,0.06239,0.2498,0.2653,0.8259,1,0
"After the contact-lens case is filled with fresh solution, into which eye does the woman demonstrate inserting the first lens?",35,16,1.0,0.0,16,0,0,1.881,0.06234,0.2497,0.381,0.9,1,0
Which animal’s head is shown first as a large white silhouette against blue and later as the small logo on the maroon LMU shirts worn during the poolside interviews?,23,16,1.0,0.0,16,0,0,1.9439,0.06177,0.2485,0.4439,0.93,1,0
What emblem is visible on the back of the red-and-white singlet worn by the athlete who first bends over before a shot-put attempt and later spins to release a weight indoors?,54,16,1.0,0.0,16,0,0,1.904,0.05963,0.2442,0.404,0.7966,1,0
What specific flower appears both in the initial showcased paintings and in the later detailed oil painting to which the artist applies finishing brushstrokes?,106,16,1.0,0.0,16,0,0,2.0112,0.05826,0.2414,0.5112,0.8999,1,0
"What fitness application name is revealed on the mounted iPad when the camera zooms into the treadmill display and is later referenced while it automatically alters incline and resistance across the woman’s treadmill, bike, and elliptical workouts?",70,16,1.0,0.0,16,0,0,2.0592,0.05742,0.2396,0.5592,0.8958,1,0
"After the instructional text that tells viewers to water young trees twice a week and slowly, what object is shown hanging and gently swaying between two mature trees?",34,16,1.0,0.0,16,0,0,1.7215,0.05712,0.239,0.2215,0.6667,1,0
"Which battery type, first associated with an estimated 50-minute run time during the hedge-trimmer close-ups, is later described as having no self-discharge?",100,16,1.0,0.0,16,0,0,2.1093,0.05586,0.2364,0.6093,0.9227,1,0
"Right before the close-up of the black dog in an orange life jacket sitting at the front of the boat, what two-word name identifying the loch briefly appears on the screen?",91,16,1.0,0.0,16,0,0,1.8756,0.05555,0.2357,0.4069,0.9333,1,0
"Across the scenes that start with wakeboarding and end with a water skier raising one arm, what colored tow rope continually connects the riders to the unseen boat?",35,16,1.0,0.0,16,0,0,2.2034,0.05493,0.2344,0.7034,0.9479,1,0
"Following the earlier segments where the group performs karate techniques, hula-hoop exercises, and agility runs around orange cones, which sport are the children practicing when they appear wearing protective gear and engaging in paired bouts?",79,16,1.0,0.0,16,0,0,1.9634,0.05187,0.2278,0.4634,0.806,1,0
"Which event occurs earlier in the video: the man in the green shirt bending to adjust the Christmas-tree stand, or the child, lifted by an adult, placing a star on the tree top?",66,16,1.0,0.0,16,0,0,1.7744,0.05166,0.2273,0.3057,0.7312,1,0
Which beverage company’s branding is visible both on the tent behind the man speaking at the start and on banners around the beach volleyball court later in the video?,29,16,1.0,0.0,16,0,0,1.8541,0.05137,0.2266,0.3541,0.85,1,0
"Following the Go Swim logo and the word “PRESENTS,” which two swimming strokes are explicitly named in the subsequent instructional segment?",22,16,1.0,0.0,16,0,0,1.8934,0.04943,0.2223,0.3934,0.9,1,0
Both the opening blue title card and the instructional slide shown after the athlete’s triple-jump highlight which specific phase of the triple jump?,1,16,1.0,0.0,16,0,0,1.8782,0.04938,0.2222,0.3782,0.7778,1,0
"Which dance style, first shown in black text on a plain green background before the studio scenes, is later performed by the women led by the dancer in a green skirt?",58,16,1.0,0.0,16,0,0,1.9943,0.04879,0.2209,0.4943,1.0,1,0
"After the swirling particles finish forming the Point Barbaros Hotel logo, what organized fitness activity is later shown taking place on the rooftop of the Point building?",132,16,1.0,0.0,16,0,0,2.0978,0.04749,0.2179,0.5978,0.9211,1,0
"What three-word slogan appears on the poster that the hands carefully smooth out after the earlier scenes of measuring, organizing, and marking surfaces?",92,16,1.0,0.0,16,0,0,1.8323,0.04703,0.2169,0.3323,0.6796,1,0
"When the live-action field hockey footage pauses for black screens introducing Mary Claire Ecclesine, which jersey number is displayed for her Blue & White varsity role?",116,16,1.0,0.0,16,0,0,1.806,0.04669,0.2161,0.306,0.95,1,0
Which board game's box that a hand adjusts on the shelf beneath the Sony TV early on is later used for stacking its wooden blocks into a tower on the coffee table?,6,16,1.0,0.0,16,0,0,1.8853,0.0449,0.2119,0.3853,0.8911,1,0
Which Hungarian athlete has his 77.35-meter hammer throw distance shown and then appears executing a discus throw in the subsequent scene?,131,16,1.0,0.0,16,0,0,1.9314,0.04478,0.2116,0.4314,0.7647,1,0
"Which AQHA gelding, first pictured beside a wooden fence outdoors and later trotting before spectators inside the arena, is offered for $3000?",127,16,1.0,0.0,16,0,0,1.8709,0.04132,0.2033,0.3709,0.7,1,0
"After the safety boat driver gestures from inside the cabin, what word can be seen printed on the side of the large container ship that passes by?",69,16,1.0,0.0,16,0,0,1.8616,0.03678,0.1918,0.3616,0.7483,1,0
"Which athlete is later named Under-18 winner with a 12.17-meter throw, following the earlier celebration of Lukas Bieber’s Under-16 discus triumph?",96,16,1.0,0.0,16,0,0,1.745,0.0365,0.1911,0.245,0.6417,1,0
"Prior to the press-conference scenes displaying sponsor logos like Audi and OTP Bank, which website domain briefly appears during the opening abstract animation?",72,16,1.0,0.0,16,0,0,2.1002,0.03631,0.1906,0.6002,1.0,1,0
What Halloween-themed object do divers handle underwater—allowing even a small shark to swim through it—before it is later shown topside crowned as the event’s best creation?,129,16,1.0,0.0,16,0,0,2.0728,0.03484,0.1867,0.5728,0.823,1,0
Across all the dives shown—from Jared’s opening jump to the elderly man’s somersaults and the later springboard routines—what color are the swim trunks worn by every main diver?,100,16,1.0,0.0,16,0,0,2.3225,0.03451,0.1858,0.8225,0.989,1,0
"Which primer brand that appears among the neatly arranged painting supplies is later opened, stirred, and brushed onto a wooden frame by the women?",90,16,1.0,0.0,16,0,0,1.8622,0.03342,0.1828,0.3622,0.8286,1,0
"After the leather saddle engraved with ""8 TIMES WORLD CHAMPION"" is shown, who is later interviewed in the arena and identified on-screen as the 1985 World Champion Calf Roper?",9,16,1.0,0.0,16,0,0,1.8164,0.03333,0.1826,0.3164,0.6365,1,0
What humorous line of text appears on the black screen before the scene cuts to the man on the tennis court preparing to serve?,64,16,1.0,0.0,16,0,0,2.0798,0.03306,0.1818,0.5798,1.0,1,0
"What sport takes center stage in the video after the abstract shapes, cello performance, and red-gloved hand scenes conclude?",37,16,1.0,0.0,16,0,0,1.6987,0.03202,0.179,0.1987,0.6,1,0
"After the conga performance introduced by the screen reading “Mambo Section of the Song,” what two-word section title appears on the next black screen before the drummer begins playing again?",66,16,1.0,0.0,16,0,0,1.6619,0.03184,0.1784,0.1619,0.5594,1,0
Which animal-powered vehicle appears on the snowy slope immediately after the snowboarder lands from a multi-spin aerial jump?,88,16,1.0,0.0,16,0,0,1.6375,0.03124,0.1767,0.1375,0.5625,1,0
"Following the moment when the baby is guided down the blue slide and safely caught, what playground equipment does the baby use immediately afterward?",39,16,1.0,0.0,16,0,0,1.6869,0.02962,0.1721,0.1869,0.6452,1,0
